"","age","days_since._signed_in","Time.spend.on.website","Number_of_campaigns","previous_purchases","Purchase_Made","admin.","bluecollar","entrepreneur","housemaid","management","retired","selfemployed","services","student","technician","married","single","primary","secondary","tertiary","cellular","telephone"
"1",30,19,79,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"2",33,11,220,1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"3",35,16,185,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"4",30,3,199,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"5",59,5,226,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"6",35,23,185,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"7",36,14,341,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
"8",39,6,151,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"9",41,14,57,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"10",43,17,313,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
"11",39,20,273,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"12",43,17,113,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"13",36,13,328,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"14",20,30,261,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"15",31,29,89,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"16",40,29,189,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"17",56,27,239,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"18",37,20,114,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"19",25,23,250,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"20",31,7,148,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"21",38,18,96,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"22",42,19,140,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"23",44,12,109,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"24",44,7,125,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"25",26,30,169,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
"26",41,20,182,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"27",55,5,247,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"28",67,17,119,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"29",56,30,149,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"30",53,21,74,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"31",68,14,897,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"32",31,27,81,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"33",59,21,40,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
"34",32,26,958,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"35",49,13,354,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"36",42,14,150,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"37",78,22,97,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"38",32,14,132,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"39",33,6,765,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
"41",38,17,609,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"42",36,11,106,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"43",52,13,365,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"44",32,13,205,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"45",32,21,11,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"46",34,7,105,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"47",55,2,59,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"48",26,21,425,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"49",32,4,204,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"50",61,27,181,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"51",45,5,1018,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"52",37,20,1740,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"53",38,29,98,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"54",34,15,441,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"55",53,14,272,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"57",57,4,140,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
"58",33,17,295,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
"59",36,26,314,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"60",54,15,579,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"61",41,8,554,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"62",63,7,323,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
"63",48,13,227,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"64",48,4,134,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"65",56,7,223,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"66",51,8,134,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"67",31,28,155,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"68",29,21,130,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"69",41,7,630,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
"70",32,19,164,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
