age,job,marital,education,contact,days_since _signed_in,Time spend on website,Number_of_campaigns,previous_purchases,Purchase_Made
30,unemployed,married,primary,cellular,19,79,1,0,no
33,services,married,secondary,cellular,11,220,1,4,no
35,management,single,tertiary,cellular,16,185,1,1,no
30,management,married,tertiary,unknown,3,199,4,0,no
59,blue-collar,married,secondary,unknown,5,226,1,0,no
35,management,single,tertiary,cellular,23,,2,3,no
36,self-employed,married,tertiary,cellular,14,341,1,2,no
39,technician,married,secondary,cellular,6,151,2,0,no
41,entrepreneur,married,tertiary,unknown,14,57,2,0,no
43,services,married,primary,cellular,17,313,1,2,no
39,services,married,secondary,unknown,20,273,1,0,no
43,admin.,married,secondary,cellular,17,113,2,0,no
36,technician,married,tertiary,cellular,13,328,2,0,no
20,student,single,secondary,cellular,30,261,1,0,yes
31,blue-collar,married,secondary,cellular,29,89,1,1,no
40,management,married,tertiary,cellular,29,189,2,0,no
56,technician,married,secondary,cellular,27,239,5,0,no
37,admin.,single,tertiary,cellular,20,114,1,2,no
25,blue-collar,single,primary,unknown,23,250,1,0,no
31,services,married,secondary,cellular,7,148,1,1,no
38,management,divorced,unknown,cellular,18,96,2,0,no
42,management,divorced,tertiary,cellular,19,140,3,0,no
44,services,single,secondary,unknown,12,109,2,0,no
44,entrepreneur,married,secondary,cellular,7,125,2,0,no
26,housemaid,married,tertiary,cellular,30,169,3,0,no
41,management,married,tertiary,cellular,20,182,2,0,no
55,blue-collar,married,primary,unknown,5,247,1,0,no
67,retired,married,unknown,telephone,17,119,,2,no
56,self-employed,married,secondary,cellular,30,149,2,0,no
53,admin.,married,secondary,cellular,21,74,2,0,no
68,retired,divorced,secondary,telephone,14,897,2,0,yes
31,technician,married,secondary,cellular,27,81,3,0,no
59,management,married,secondary,cellular,21,40,1,0,no
32,management,single,tertiary,cellular,26,958,6,0,yes
49,technician,married,tertiary,cellular,13,354,3,0,yes
42,admin.,divorced,secondary,unknown,14,150,1,0,no
78,retired,divorced,primary,telephone,22,97,1,0,yes
32,blue-collar,married,secondary,cellular,14,132,1,0,yes
33,management,married,secondary,cellular,6,765,1,2,yes
23,services,,tertiary,unknown,30,16,18,0,no
38,management,single,tertiary,unknown,17,609,2,3,no
36,management,single,tertiary,cellular,11,106,2,0,no
52,blue-collar,married,secondary,cellular,13,365,1,0,no
32,technician,married,tertiary,cellular,13,205,3,0,no
32,technician,single,tertiary,cellular,21,11,4,0,no
34,management,single,tertiary,unknown,7,105,2,0,no
55,blue-collar,married,primary,telephone,2,59,3,2,no
26,blue-collar,married,primary,unknown,21,425,1,0,no
32,entrepreneur,single,primary,cellular,4,204,1,0,no
61,admin.,married,unknown,cellular,27,181,1,1,yes
45,blue-collar,divorced,primary,unknown,5,1018,3,0,yes
37,technician,single,secondary,cellular,20,1740,2,0,no
38,technician,single,secondary,cellular,29,98,2,0,no
34,technician,married,tertiary,cellular,15,441,1,1,yes
53,blue-collar,married,secondary,cellular,14,272,3,0,no
48,admin.,married,,telephone,15,159,2,0,no
57,management,married,secondary,telephone,4,140,1,0,no
33,self-employed,single,tertiary,cellular,17,295,1,0,no
36,retired,single,secondary,unknown,26,314,1,0,no
54,technician,divorced,secondary,unknown,15,579,1,0,no
41,blue-collar,married,primary,telephone,8,554,3,0,no
63,retired,married,secondary,cellular,7,323,1,0,no
48,management,married,tertiary,cellular,13,227,2,0,no
48,services,married,secondary,cellular,4,134,2,0,no
56,admin.,married,secondary,cellular,7,223,1,0,no
51,blue-collar,divorced,secondary,cellular,8,134,1,5,no
31,services,married,secondary,cellular,28,155,1,0,no
29,technician,married,secondary,cellular,21,130,4,0,no
41,management,married,secondary,cellular,7,630,3,0,no
32,technician,single,tertiary,cellular,19,164,2,0,no
37,management,married,tertiary,cellular,16,268,2,3,yes
42,entrepreneur,divorced,tertiary,unknown,5,380,1,0,no
31,management,single,tertiary,unknown,9,154,2,0,no
41,services,married,tertiary,unknown,3,154,5,0,no
56,retired,married,secondary,unknown,15,221,1,0,no
54,management,divorced,tertiary,cellular,14,67,2,0,no
41,blue-collar,divorced,secondary,cellular,14,367,2,1,no
40,technician,single,secondary,cellular,14,87,6,0,no
50,blue-collar,divorced,primary,cellular,5,701,1,0,no
,unemployed,married,secondary,cellular,17,,2,1,no
27,admin.,divorced,secondary,cellular,16,652,1,0,yes
60,retired,married,primary,cellular,26,63,2,0,no
